Name,MPG
Buick Skylark 320,15
Amc Rebel Sst,16
Ford Galaxie 500,15
Plymouth Fury Iii,14
Amc Ambassador Dpl,15
Plymouth 'Cuda 340,14
Buick Estate Wagon (Sw),14
Plymouth Duster,22
Ford Maverick,21
Volkswagen 1131 Deluxe Sedan,26
Audi 100 Ls,24
Bmw 2002,26
Ford F250,10
Dodge D200,11
Datsun Pl510,27
Toyota Corona,25
Amc Gremlin,19
Chevrolet Chevelle Malibu,17
Amc Matador,18
Pontiac Catalina Brougham,14
Plymouth Fury Iii,14
Ford Country Squire (Sw),13
Amc Hornet Sportabout (Sw),18
Pontiac Firebird,19
Mercury Capri 2000,23
Peugeot 304,30
Toyota Corolla 1200,31
Volkswagen Model 111,27
Toyota Corona Hardtop,24
Volkswagen Type 3,23
Ford Pinto Runabout,21
Pontiac Catalina,14
Ford Galaxie 500,14
Mercury Marquis,11
Oldsmobile Delta 88 Royale,12
Mazda Rx2 Coupe,19
Chevrolet Chevelle Concours (Sw),13
Plymouth Satellite Custom (Sw),14
Volkswagen 411 (Sw),22
Renault 12 (Sw),26
Datsun 510 (Sw),28
Dodge Colt (Sw),28
Buick Century 350,13
Chevrolet Malibu,13
Dodge Coronet Custom,15
Chevrolet Caprice Classic,13
Plymouth Fury Gran Sedan,14
Buick Electra 225 Custom,12
Plymouth Valiant,18
Amc Hornet,18
Plymouth Duster,23
Chevrolet Impala,11
Plymouth Custom Suburb,13
Amc Gremlin,18
Chevrolet Vega,21
Maxda Rx3,18
Mercury Capri V6,21
Chevrolet Monte Carlo S,15
Fiat 128,29
Audi 100ls,20
Dodge Dart Custom,15
Toyota Mark Ii,20
Plymouth Duster,20
Amc Hornet,19
Datsun B210,31
Toyota Corolla 1200,32
Chevrolet Chevelle Malibu Classic,16
Plymouth Satellite Sebring,18
Buick Century Luxus (Sw),13
Ford Gran Torino (Sw),14
Audi Fox,29
Opel Manta,26
Datsun 710,32
Fiat 128,24
Honda Civic,24
Fiat X1.9,31
Chevrolet Nova,18
Ford Maverick,15
Chevrolet Bel Air,15
Ford Ltd,14
Chevroelt Chevelle Malibu,16
Plymouth Fury,18
Chevrolet Monza 2+2,20
Toyota Corolla,29
Amc Gremlin,20
Toyota Corona,24
Datsun 710,24
Volkswagen Rabbit,29
Audi 100ls,23
Volvo 244dl,22
Honda Civic Cvcc,33
Opel 1900,25
Dodge Colt,26
Chevrolet Chevelle Malibu Classic,17.5
Amc Matador,15.5
Plymouth Valiant,22
Ford Maverick,24
Chevrolet Chevette,29
Vw Rabbit,29
Dodge Aspen Se,20
Pontiac Ventura Sj,18.5
Volkswagen Rabbit,29.5
Toyota Corolla,28
Volvo 245,20
Peugeot 504,19
Mercedes-Benz 280s,16.5
Chevy C10,13
Dodge D100,13
Buick Opel Isuzu Deluxe,30
Plymouth Arrow Gs,25.5
Chevrolet Caprice Classic,17.5
Dodge Monaco Brougham,15.5
Chevrolet Concours,17.5
Plymouth Volare Custom,19
Pontiac Grand Prix Lj,16
Chrysler Cordoba,15.5
Volkswagen Rabbit Custom,29
Toyota Corolla Liftback,26
Chevrolet Chevette,30.5
Subaru Dl,30
Datsun 810,22
Mazda Rx-4,21.5
Ford Fiesta,36.1
Datsun B210 Gx,39.4
Oldsmobile Cutlass Salon Brougham,19.9
Mercury Monarch Ghia,20.2
Chevrolet Malibu,20.5
Ford Fairmont (Man),25.1
Amc Concord,19.4
Mercury Zephyr,20.8
Amc Concord D/L,18.1
Buick Regal Sport Coupe (Turbo),17.7
Dodge Magnum Xe,17.5
Toyota Corona,27.5
Dodge Omni,30.9
Plymouth Sapporo,23.2
Datsun 200-Sx,23.9
Volvo 264gl,17
Peugeot 604sl,16.2
Honda Accord Lx,29.5
Mercury Zephyr 6,19.8
Amc Concord Dl 6,20.2
Chevrolet Caprice Classic,17
Mercury Grand Marquis,16.5
Buick Estate Wagon (Sw),16.9
Chevrolet Malibu Classic (Sw),19.2
Vw Rabbit Custom,31.9
Dodge Colt Hatchback Custom,35.7
Mercedes Banchar 300d,25.4
Peugeot 504,27.2
Plymouth Horizon,34.2
Datsun 210,31.8
Buick Skylark Limited,28.4
Oldsmobile Omega Brougham,26.8
Vw Rabbit,41.5
Chevrolet Chevette,32.1
Chevrolet Citation,28
Amc Concord,24.3
Audi 4000,34.3
Mazda 626,31.3
Toyota Corolla,32.2
Dodge Colt,27.9
Vw Rabbit C (Diesel),44.3
Audi 5000s (Diesel),36.4
Honda Civic 1500 Gl,44.6
Subaru Dl,33.8
Datsun 280-Zx,32.7
Triumph Tr7 Coupe,35
Honda Accord,32.4
Buick Skylark,26.6
Chevrolet Citation,23.5
Toyota Starlet,39.1
Honda Civic 1300,35.1
Datsun 210 Mpg,37
Mazda Glc 4,34.1
Ford Escort 4w,34.4
Volkswagen Jetta,33
Honda Prelude,33.7
Datsun 200sx,32.9
Peugeot 505s Turbo Diesel,28.1
Toyota Cressida,25.4
Buick Century,22.4
Ford Granada Gl,20.2
Chevrolet Cavalier,28
Chevrolet Cavalier 2-Door,34
Dodge Aries Se,29
Ford Fairmont Futura,24
Volkswagen Rabbit L,36
Mazda Glc Custom,31
Mercury Lynx L,36
Honda Accord,36
Honda Civic,38
Datsun 310 Gx,38
Oldsmobile Cutlass Ciera (Diesel),38
Ford Granada L,22
Dodge Charger 2.2,36
Ford Mustang Gl,27
Dodge Rampage,32
Chevy S-10,31
